Larsen,0.021,36.699,36.699
Hoover,0.021,36.72,36.720
Beasley,0.02,36.74,36.740
Glenn,0.02,36.76,36.760
Petersen,0.02,36.78,36.780
Whitehead,0.02,36.8,36.800
Meyers,0.02,36.82,36.820
Keith,0.02,36.84,36.840
Garrison,0.02,36.86,36.860
Vincent,0.02,36.88,36.880
Shields,0.02,36.9,36.900
Horn,0.02,36.92,36.920
Savage,0.02,36.94,36.940
Olsen,0.02,36.96,36.960
Schroeder,0.02,36.98,36.980
Hartman,0.02,37,37.000
Woodard,0.02,37.02,37.020
Mueller,0.02,37.04,37.040
Kemp,0.02,37.06,37.060
Deleon,0.02,37.08,37.080
Booth,0.02,37.1,37.100
Patel,0.02,37.12,37.120
Calhoun,0.02,37.14,37.140
Wiley,0.02,37.16,37.160
Eaton,0.02,37.18,37.180
Cline,0.02,37.2,37.200
Navarro,0.02,37.22,37.220
Harrell,0.02,37.24,37.240
Lester,0.02,37.26,37.260
Humphrey,0.02,37.28,37.280
Parrish,0.02,37.3,37.300
Duran,0.02,37.32,37.320
Hutchinson,0.02,37.34,37.340
Hess,0.02,37.36,37.360
Dorsey,0.02,37.38,37.380
Bullock,0.02,37.4,37.400
Robles,0.02,37.42,37.420
Beard,0.019,37.439,37.439
Dalton,0.019,37.458,37.458
Avila,0.019,37.477,37.477
Vance,0.019,37.496,37.496
Rich,0.019,37.515,37.515
Blackwell,0.019,37.534,37.534
York,0.019,37.553,37.553
Johns,0.019,37.572,37.572
Blankenship,0.019,37.591,37.591
Trevino,0.019,37.61,37.610
Salinas,0.019,37.629,37.629
Campos,0.019,37.648,37.648
Pruitt,0.019,37.667,37.667
Moses,0.019,37.686,37.686
Callahan,0.019,37.705,37.705
Golden,0.019,37.724,37.724
Montoya,0.019,37.743,37.743
Hardin,0.019,37.762,37.762
Guerra,0.019,37.781,37.781
Mcdowell,0.019,37.8,37.800
Carey,0.019,37.819,37.819
Stafford,0.019,37.838,37.838
Gallegos,0.019,37.857,37.857
Henson,0.019,37.876,37.876
Wilkinson,0.019,37.895,37.895
Booker,0.019,37.914,37.914
Merritt,0.019,37.933,37.933
Miranda,0.019,37.952,37.952
Atkinson,0.019,37.971,37.971
Orr,0.019,37.99,37.990
Decker,0.019,38.009,38.009
Hobbs,0.019,38.028,38.028
Preston,0.019,38.047,38.047
Tanner,0.019,38.066,38.066
Knox,0.019,38.085,38.085
Pacheco,0.019,38.104,38.104
Stephenson,0.018,38.122,38.122
Glass,0.018,38.14,38.140
Rojas,0.018,38.158,38.158
Serrano,0.018,38.176,38.176
Marks,0.018,38.194,38.194
Hickman,0.018,38.212,38.212
English,0.018,38.23,38.230
Sweeney,0.018,38.248,38.248
Strong,0.018,38.266,38.266
Prince,0.018,38.284,38.284
Mcclure,0.018,38.302,38.302
Conway,0.018,38.32,38.320
Walter,0.018,38.338,38.338
Roth,0.018,38.356,38.356
Maynard,0.018,38.374,38.374
Farrell,0.018,38.392,38.392
Lowery,0.018,38.41,38.410
Hurst,0.018,38.428,38.428
Nixon,0.018,38.446,38.446
Weiss,0.018,38.464,38.464
Trujillo,0.018,38.482,38.482
Ellison,0.018,38.5,38.500
Sloan,0.018,38.518,38.518
Juarez,0.018,38.536,38.536
Winters,0.018,38.554,38.554
Mclean,0.018,38.572,38.572
Randolph,0.018,38.59,38.590
Leon,0.018,38.608,38.608
Boyer,0.018,38.626,38.626
Villarreal,0.018,38.644,38.644
Mccall,0.018,38.662,38.662
